episode,timestep,reward
177,8000,-31635343.4972
363,16000,-29346026.5591
550,24000,-30466760.2193
730,32000,-31792112.6333
911,40000,-31511425.8508
1094,48000,-29812789.1803
1279,56000,-29422403.8973
1467,64000,-29304155.9415
1647,72000,-31114236.7556
1822,80000,-32353121.4743
2005,88000,-30232022.1257
2187,96000,-30007102.8462
2372,104000,-29271035.4757
2549,112000,-31724216.5311
2744,120000,-28038783.3385
2923,128000,-31325608.0503
3110,136000,-29942983.7059
3295,144000,-30521056.9459
3477,152000,-30935725.3736
3657,160000,-31014694.1611
3841,168000,-30645045.7772
4026,176000,-30334424.4054
4212,184000,-30171308.2366
4392,192000,-31745656.7611
4571,200000,-31023427.9777
4751,208000,-31203205.0389
4938,216000,-28763556.5294
5126,224000,-29611902.5319
5307,232000,-31479244.1934
5494,240000,-30223348.5401
5676,248000,-30728044.4341
5862,256000,-30888645.6505
6040,264000,-32412597.3483
6226,272000,-29813007.2903
6414,280000,-30389895.9309
6593,288000,-30547545.8994
6785,296000,-28969809.4688
6970,304000,-29814254.2324
7155,312000,-31090668.4757
7344,320000,-29399333.0794
7522,328000,-31827655.2697
7711,336000,-29662411.2963
7895,344000,-30824895.9891
8082,352000,-29448822.4973
8273,360000,-29797911.8848
8459,368000,-30321780.2903
8645,376000,-30461415.5645
8838,384000,-28678607.057
